Sample_ID,Time_taken,Treatment,Sex (M/F),Place_taken,Sample_num
Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,24,0,0,S,6
Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,24,0,0,T,29
Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,24,0,0,T,30
Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,24,0,1,S,17
Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,24,0,1,S,18
Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,24,0,1,T,41
Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,24,0,1,T,42
Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,24,1,0,S,7
Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,24,1,0,T,31
Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,24,1,1,S,19
Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,24,1,1,S,20
Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,24,1,1,T,43
Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,24,1,1,T,44
Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,24,1,0,S,8
Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,24,1,0,T,32
Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,4,0,0,S,1
Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,4,0,0,S,2
Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,4,0,0,T,25
Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,4,0,0,T,26
Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,4,0,1,S,13
Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,4,0,1,S,14
Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,4,0,1,T,37
Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,4,0,1,T,38
Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,4,1,0,S,3
Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,4,1,0,S,4
Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,4,1,0,T,27
Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,4,1,0,T,28
Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,4,1,1,S,15
Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,4,1,1,S,16
Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,4,1,1,T,39
Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,4,1,1,T,40
Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,168,0,0,S,10
Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,168,0,0,S,9
Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,168,0,0,T,33
Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,168,0,0,T,34
Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,168,0,1,S,21
Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,168,0,1,S,22
Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,168,0,1,T,45
Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,168,0,1,T,46
Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,168,1,0,S,11
Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,168,1,0,S,12
Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,168,1,0,T,35
Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,168,1,0,T,36
Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,168,1,1,S,23
Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq,168,1,1,S,24
Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,168,1,1,T,47
Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,168,1,1,T,48
